ID,Cognateset_ID,Language_ID,ISO639P3code,Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1209-211,Beijing,,"I [first person singular]",1209,1209,uo²¹⁴,211,u o ²¹⁴,
2,1209-211,Jinan,,"I [first person singular]",1209,1209,uə⁵⁵,211,u ə ⁵⁵,
3,1209-212,Jinan,,"I [first person singular]",1209,1209,ŋæ̃⁵⁵,212,ŋ æ̃ ∼ ⁵⁵,
4,1209-211,Shenyang,,"I [first person singular]",1209,1209,uə²¹³,211,u ə ²¹³,
5,1209-211,Xian,,"I [first person singular]",1209,1209,ŋə⁵³,211,ŋ ə ⁵³,
6,1209-211,Chengdu,,"I [first person singular]",1209,1209,ŋo⁵³,211,ŋ o ⁵³,
7,1209-211,Kunming,,"I [first person singular]",1209,1209,uo⁵³,211,u o ⁵³,
8,1209-211,Hefei,,"I [first person singular]",1209,1209,ʊ²⁴,211,ʊ ²⁴,
9,1209-211,Yangzhou,,"I [first person singular]",1209,1209,o⁴²,211,o ⁴²,
10,1209-211,Suzhou,,"I [first person singular]",1209,1209,ŋəu³¹,211,ŋ ə u ³¹,
11,1209-213,Suzhou,,"I [first person singular]",1209,1209,nəu³¹,213,n ə u ³¹,
12,1209-211,Wenzhou,,"I [first person singular]",1209,1209,ῃ²⁴,211,ŋ̍ ²⁴,
13,1209-211,Changsha,,"I [first person singular]",1209,1209,ŋo⁴¹,211,ŋ o ⁴¹,
14,1209-211,Nanchang,,"I [first person singular]",1209,1209,ŋɔ²¹³,211,ŋ ɔ ²¹³,
15,1209-214,Meixian,,"I [first person singular]",1209,1209,ŋai¹²,214,ŋ a i ¹²,
16,1209-211,Guangzhou,,"I [first person singular]",1209,1209,ŋɔ²³,211,ŋ ɔ ²³,
17,1209-211,Yangjiang,,"I [first person singular]",1209,1209,ŋɔ²¹,211,ŋ ɔ ²¹,
18,1209-211,Xiamen,,"I [first person singular]",1209,1209,gua⁵¹,211,g u a ⁵¹,
19,1209-211,Chaozhou,,"I [first person singular]",1209,1209,ua⁵³,211,u a ⁵³,
20,1209-211,Fuzhou,,"I [first person singular]",1209,1209,ŋuai³¹,211,ŋ u a i ³¹,
21,2489-575,Beijing,,"abacus",2489,2489,suan⁵¹pʰan⁰,575,s u a n ⁵¹ pʰ a n ⁰,
22,2489-575,Jinan,,"abacus",2489,2489,suæ̃²¹pʰæ̃⁴²,575,s u æ̃ ∼ ²¹ pʰ æ̃ ∼ ⁴²,
23,2489-575,Shenyang,,"abacus",2489,2489,suan⁴¹pʰan³⁵,575,s u a n ⁴¹ pʰ a n ³⁵,
24,2489-575,Xian,,"abacus",2489,2489,suæ̃⁴⁵pʰæ̃⁰,575,s u æ̃ ∼ ⁴⁵ pʰ æ̃ ∼ ⁰,
25,2489-575,Chengdu,,"abacus",2489,2489,suan¹³pʰan³¹,575,s u a n ¹³ pʰ a n ³¹,
26,2489-575,Kunming,,"abacus",2489,2489,suã¹³pʰã³¹,575,s u ã ∼ ¹³ pʰ ã ∼ ³¹,
